CGTN,rtp://232.0.0.9:8832
CETV4
纪实高清,rtp://232.0.0.162:9124
兵团卫视,rtp://232.0.0.67:8640
厦门卫视,rtp://232.0.0.183:9184
延边卫视,rtp://232.0.0.184:9186
北京4K超清,rtp://232.0.0.191:9200
欢笑剧场4K,rtp://232.0.0.150:9160
BTV冬奥纪实,rtp://232.0.0.185:9188
全纪实高清,rtp://232.0.0.126:9298
中国教育高清,rtp://232.0.0.192:9202
金鹰纪实高清,rtp://232.0.0.186:9190
辽宁经济高清,rtp://232.0.0.155:9320
辽宁公共高清,rtp://232.0.0.156:9322
辽宁都市,rtp://232.0.0.88:8890
辽宁影视剧,rtp://232.0.0.97:8534
辽宁教育青少,rtp://232.0.0.99:8536
辽宁生活,rtp://232.0.0.96:8538
辽宁体育,rtp://232.0.0.3:8540
辽宁北方,rtp://232.0.0.55:8542
辽宁宜佳购物,rtp://232.0.0.21:8838
第一剧场高清,rtp://232.0.0.147:9132
怀旧剧场高清,rtp://232.0.0.204:9226
风云剧场高清,rtp://232.0.0.52:8610
风云音乐高清,rtp://232.0.0.108:9288
女性时尚高清,rtp://232.0.0.120:8858
风云足球高清,rtp://232.0.0.90:9286
文化精品高清,rtp://232.0.0.107:8698
兵器科技高清,rtp://232.0.0.121:8882
央视台球高清,rtp://232.0.0.122:9290
世界地理高清,rtp://232.0.0.123:9292
电视指南高清,rtp://232.0.0.124:9294
生活时尚高清,rtp://232.0.0.125:9296
极速汽车高清,rtp://232.0.0.127:9300
游戏风云高清,rtp://232.0.0.139:9302
动漫秀场高清,rtp://232.0.0.140:9304
金色频道高清,rtp://232.0.0.141:9306
法治天地高清,rtp://232.0.0.142:9308
都市剧场高清,rtp://232.0.0.143:9310
IPTV足球,rtp://232.0.0.91:8746
文物宝库,rtp://232.0.0.22:8672
风云剧场,rtp://232.0.0.177:9172
少儿动画,rtp://232.0.0.104:8632
新动漫,rtp://232.0.0.65:8634
卡酷动画,rtp://232.0.0.57:8682
炫动卡通,rtp://232.0.0.103:8636
金鹰卡通,rtp://232.0.0.181:9180
嘉佳卡通,rtp://232.0.0.180:9178
优漫卡通,rtp://232.0.0.182:9182
